date,holiday
2026-01-26,Republic Day
2026-02-15,Mahashivratri
2026-03-04,Holi
2026-03-21,Id-Ul-Fitr (Ramzan Id)
2026-03-27,Shri Ram Navami
2026-03-31,Mahavir Jayanti
2026-04-03,Good Friday
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti
2026-05-01,Maharashtra Day
2026-05-27,Bakri Id
2026-06-26,Muharram
2026-08-15,Independence Day
2026-08-26,Milad-un-Nabi
2026-10-02,Mahatma Gandhi Jayanti
2026-10-20,Dussehra
2026-11-08,Diwali Laxmi Pujan (Muhurat Trading)
2026-11-10,Diwali-Balipratipada
2026-11-24,Prakash Gurpurb Sri Guru Nanak Dev Ji
2026-12-25,Christmas
